interaction_id,student_id,major,department,advisor_id,advisor_name,interaction_date,interaction_type,duration_minutes,meeting_format,notes,follow_up_required
31,STU10029,Mathematics,Arts & Sciences,ADV006,Dr. James Miller,2024-11-02,Graduation Planning,35,In-Person,Honors thesis proposal review. Approved topic on number theory.,FALSE
32,STU10030,Nursing,Health Sciences,ADV007,Dr. Patricia Nguyen,2024-11-05,Graduation Planning,40,In-Person,Final clinical placement review. NCLEX preparation discussion.,TRUE
33,STU10031,Economics,Business,ADV003,Prof. Mark Thompson,2024-11-08,Academic Advising,30,In-Person,Mid-semester review. Discussed econometrics course struggles.,TRUE
34,STU10032,Computer Science,Engineering,ADV001,Dr. Robert Chen,2024-11-10,Career Counseling,45,Virtual,Tech industry career paths. Discussed software vs hardware focus.,FALSE
35,STU10033,Psychology,Arts & Sciences,ADV004,Dr. Jennifer Walsh,2024-11-12,Academic Advising,25,In-Person,First-semester check-in. Adjusting well to college academics.,FALSE
36,STU10034,Biology,Arts & Sciences,ADV002,Dr. Lisa Park,2024-04-15,Graduation Planning,45,In-Person,Final graduation clearance meeting. All requirements confirmed complete.,FALSE
37,STU10035,Business Administration,Business,ADV003,Prof. Mark Thompson,2024-11-15,Academic Advising,30,In-Person,Extended graduation timeline review. Need additional semester for internship credit.,FALSE
38,STU10036,Mechanical Engineering,Engineering,ADV001,Dr. Robert Chen,2024-03-20,Personal Support,60,In-Person,Student requesting leave of absence. Discussed return process and timeline.,TRUE
39,STU10037,English,Arts & Sciences,ADV005,Prof. Sarah Mitchell,2024-04-18,Graduation Planning,35,In-Person,Final meeting before graduation. Discussed MFA program applications.,FALSE
40,STU10038,Chemistry,Arts & Sciences,ADV002,Dr. Lisa Park,2024-11-18,Career Counseling,50,In-Person,PhD program applications. Reviewed research statement drafts.,TRUE
41,STU10039,Economics,Business,ADV003,Prof. Mark Thompson,2024-04-20,Graduation Planning,30,In-Person,Pre-graduation meeting. Confirmed honors thesis completion.,FALSE
42,STU10040,Nursing,Health Sciences,ADV007,Dr. Patricia Nguyen,2024-11-20,Academic Advising,35,In-Person,Senior year clinical review. Excellent evaluations across rotations.,FALSE
43,STU10003,Business Administration,Business,ADV003,Prof. Mark Thompson,2024-11-22,Academic Advising,25,Virtual,Spring registration planning. Added marketing concentration.,FALSE
44,STU10004,Psychology,Arts & Sciences,ADV004,Dr. Jennifer Walsh,2024-11-25,Career Counseling,40,In-Person,Graduate school exploration. Discussed PhD vs PsyD paths.,TRUE
45,STU10042,Psychology,Arts & Sciences,ADV004,Dr. Jennifer Walsh,2024-11-28,Academic Advising,30,In-Person,Junior year planning. Discussed honors program application.,FALSE
46,STU10043,Biology,Arts & Sciences,ADV002,Dr. Lisa Park,2024-12-01,Academic Advising,25,Phone,Quick check-in on course performance. Student doing well.,FALSE
47,STU10044,Business Administration,Business,ADV003,Prof. Mark Thompson,2024-12-03,Academic Advising,30,In-Person,First semester review. Interested in entrepreneurship track.,FALSE
48,STU10045,Mechanical Engineering,Engineering,ADV001,Dr. Robert Chen,2024-12-05,Graduation Planning,40,In-Person,Final degree audit. On track for May 2025 graduation.,FALSE
49,STU10046,English,Arts & Sciences,ADV005,Prof. Sarah Mitchell,2024-12-08,Career Counseling,35,Virtual,Discussed summer writing workshop opportunities.,FALSE
50,STU10047,Chemistry,Arts & Sciences,ADV002,Dr. Lisa Park,2024-12-10,Academic Advising,30,In-Person,Research lab placement for Spring 2025. Assigned to Dr. Kims lab.,FALSE
